"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Description............","1153","Test home endpoint","tests","Tue Aug 19 07:54:22 UTC 2025","broken","Tue Aug 19 07:54:23 UTC 2025","ExampleTestCase","test_example","",""
"","10787","test_chat_flow","tests","Tue Aug 19 06:36:25 UTC 2025","broken","Tue Aug 19 06:36:35 UTC 2025","ChatFlowTestCase","test_chat_flow","",""
